血統登録番号,馬名,父正規名,母父正規名,母母父正規名,枝1_父ブロック_父父,枝2_父ブロック_母父,枝3_父ブロック_母母父,枝4_母父ブロック_父父,枝5_母父ブロック_母父,枝6_母父ブロック_母母父,枝7_母母父ブロック_父父,枝8_母母父ブロック_母父,枝9_母母父ブロック_母母父,現代馬9枝シグネチャ
2020106971,ニジノテンシ,ビーチパトロール,マヤノトップガン,サンデーサイレンス,地,極,極,極,地,極,極,極,極,地・極・極｜極・地・極｜極・極・極
2020101678,リバーラ,キンシャサノキセキ,Stormy Atlantic,Rahy,地,極,極,地,極,極,極,極,極,地・極・極｜地・極・極｜極・極・極
2020101319,ゴットリープ,キンシャサノキセキ,コマンズ,Selkirk,地,極,極,地,地,極,地,地,極,地・極・極｜地・地・極｜地・地・極
2020106622,ガンバリーレ,サトノアラジン,キンシャサノキセキ,ヘクタープロテクター,地,バ,極,地,極,極,極,極,極,地・バ・極｜地・極・極｜極・極・極
2020101415,マリノルルワ,ノヴェリスト,ブラックタイド,Mt. Livermore,極,地,地,極,極,地,極,極,極,極・地・地｜極・極・地｜極・極・極
2020103721,レイカットスルー,ミッキーアイル,Forestry,Seeking the Gold,地,バ,極,地,極,極,極,極,極,地・バ・極｜地・極・極｜極・極・極
2020100421,マーゴットピア,レッドファルクス,チチカステナンゴ,サンデーサイレンス,地,極,極,極,バ,極,極,極,極,地・極・極｜極・バ・極｜極・極・極
2019104662,ピアツァサンマルコ,キタサンブラック,シンボリクリスエス,ホワイトマズル,地,バ,極,極,極,バ,バ,極,地,地・バ・極｜極・極・バ｜バ・極・地
2019106681,ラベンダージェンヌ,ロードカナロア,サンデーサイレンス,Tsunami Slew,地,地,地,極,極,極,極,極,極,地・地・地｜極・極・極｜極・極・極
2019101979,ジェイエルエース,マクフィ,コロナドズクエスト,サンデーサイレンス,地,バ,バ,極,極,極,極,極,極,地・バ・バ｜極・極・極｜極・極・極
2019104600,ブラックブロッサム,キタサンブラック,Orpen,Chief Singer,地,バ,極,地,バ,極,バ,極,極,地・バ・極｜地・バ・極｜バ・極・極
2019101883,スペイスフォース,アメリカンペイトリオット,ディープインパクト,Galileo,地,地,地,極,極,地,地,極,地,地・地・地｜極・極・地｜地・極・地
2019103570,ニシノスピカ,ダンカーク,ハーツクライ,タニノギムレット,極,極,地,極,極,地,極,地,極,極・極・地｜極・極・地｜極・地・極
2020105377,ミレクイーン,イスラボニータ,トーヨーレインボー,アフリート,地,極,極,バ,極,極,極,極,極,地・極・極｜バ・極・極｜極・極・極
2020101314,ラフィーニ,ヴィクトワールピサ,シンボリクリスエス,Lost Code,地,地,地,極,極,バ,地,極,極,地・地・地｜極・極・バ｜地・極・極
2020100406,トクシーカイザー,キンシャサノキセキ,キングカメハメハ,スペシャルウィーク,地,極,極,極,地,地,極,極,地,地・極・極｜極・地・地｜極・極・地
2020106414,カリビアンジョー,ルーラーシップ,キンシャサノキセキ,ニホンピロウイナー,地,地,地,地,極,極,極,地,極,地・地・地｜地・極・極｜極・地・極
2020100181,キタノマルティス,ケープブランコ,スペシャルウィーク,メジロライアン,地,極,地,極,極,地,地,極,極,地・極・地｜極・極・地｜地・極・極
2020103008,エンジェリックアイ,エピファネイア,ネオユニヴァース,Law Society,極,地,バ,極,極,地,極,極,極,極・地・バ｜極・極・地｜極・極・極
2019104524,スカイコップス,シルバーステート,キングカメハメハ,Storm Cat,地,バ,極,極,地,地,地,極,極,地・バ・極｜極・地・地｜地・極・極
2019109086,アルセニウス,ドゥラメンテ,サクラバクシンオー,ヘクタープロテクター,地,地,地,地,極,極,極,極,極,地・地・地｜地・極・極｜極・極・極
2019104971,ジェリービーンロウ,キタサンブラック,Zavata,Northern Spur,地,バ,極,地,極,極,地,極,極,地・バ・極｜地・極・極｜地・極・極
2019104855,ロードオブシャドウ,ロードカナロア,クロフネ,Woodman,地,地,地,地,極,極,極,極,極,地・地・地｜地・極・極｜極・極・極
2019101875,プラウドヘリテージ,ジャスタウェイ,Tiznow,Seeking the Gold,地,地,バ,極,バ,極,極,極,極,地・地・バ｜極・バ・極｜極・極・極
2019100814,キタノステート,メイショウボーラー,ステイゴールド,アフリート,バ,バ,地,極,極,極,極,極,極,バ・バ・地｜極・極・極｜極・極・極
2020103302,パルピターレ,ドゥラメンテ,Azamour,Hawk Wing,地,地,地,地,極,極,極,極,地,地・地・地｜地・極・極｜極・極・地
