level,場所,surface,距離,距離変化区分,lead_n,first_n,win_n,LeadAdj_Raw,FirstAdj_Raw,WinAdj_Raw,LeadAdj_Prod,FirstAdj_Prod,WinAdj_Prod
COURSE,中山,ダ,1200.0,短縮200-399,1799,1799,1799,0.0,-0.0028629735417435853,0.005818752101870092,0.0,-0.0026839444510665506,0.0016364671752888426
COURSE,中山,ダ,1200.0,短縮400m+,1229,1229,1229,0.0,-0.0028016606050356163,-0.03612028735183599,0.0,-0.0025524394985832265,-0.00987216452677682
COURSE,中山,ダ,1800.0,同距離,5425,5425,5425,-0.0015416148668572494,0.010440321302450761,0.003095182272939506,-0.0006033010389684818,0.010214381075887354,0.0009084597203262481
COURSE,中山,ダ,1800.0,延長1-199,964,964,964,0.009787906903033952,0.014035842219591532,-0.006781101261488842,0.0034817499094187197,0.012482058948050033,-0.001809127753526359
COURSE,中山,ダ,1800.0,延長200-399,1758,1758,1758,-0.013840886661890359,-0.0004429432159406277,-0.003573476603139822,-0.005182593983302077,-0.00041464013504985273,-0.001003541831999969
COURSE,中山,ダ,1800.0,延長400m+,909,909,909,0.003933587031212743,-0.008090103196704224,-0.044442751243914475,0.001389943872253599,-0.007146650928866996,-0.01177797693315401
COURSE,中山,ダ,1800.0,短縮1-199,165,165,165,-0.014668273154805858,0.004407635699174461,-0.0025185588246725565,-0.00339686325690241,0.002551789088995741,-0.0004374339011273388
COURSE,中山,ダ,1800.0,短縮200-399,942,942,942,-0.031749917624985365,-0.044048123086636415,-0.014736277411817891,-0.011264942524571081,-0.03907093403729897,-0.003921348396026117
COURSE,中山,ダ,1800.0,短縮400m+,197,197,197,-0.054969765232947686,-0.08378472057809183,-0.029560552364128023,-0.013664408518474065,-0.052068107110044455,-0.0055111313713563604
COURSE,中山,ダ,2400.0,同距離,204,204,204,-0.01983690672530694,-0.019032496375816832,0.008796041781198471,-0.0049959616937810085,-0.01198342364403282,0.0016614745586708225
COURSE,中山,ダ,2400.0,延長200-399,150,150,150,-0.018660436137071648,-0.030753326199587816,0.013894080996884745,-0.004146763586015922,-0.01708518122199323,0.0023156801661474574
COURSE,中山,ダ,2400.0,延長400m+,311,311,311,0.01137171820376437,0.02410843862841494,-0.021561438831625444,0.0032822314258660968,0.017396112328160202,-0.0046674762018344635
COURSE,中山,ダ,2500.0,延長400m+,41,41,41,0.03861788617886179,0.04172095782868135,-0.01016260162601626,0.003933747412008282,0.010624591745192143,-0.0007763975155279501
COURSE,中山,芝,1200.0,同距離,1814,1814,1814,0.0,0.001970674303420461,0.007716333191585822,0.0,0.0018483987520189846,0.002171266040776114
COURSE,中山,芝,1200.0,延長200-399,143,143,143,0.0,0.00012331768962026146,-0.04093787918919768,0.0,6.705106317755662e-05,-0.006677699685234146
COURSE,中山,芝,1200.0,短縮200-399,428,428,428,0.0,0.0019193365376291016,-0.012835140806085464,0.0,0.001499043865155576,-0.003007357809309076
COURSE,中山,芝,1200.0,短縮400m+,189,189,189,0.0,0.003233281277994271,-0.00012683837815687105,0.0,0.001977638063239214,-2.327422667150352e-05
COURSE,中山,芝,1600.0,同距離,2047,2047,2047,0.0,-0.0020148261497354714,0.020295892140894486,0.0,-0.0019032529434741623,0.005751595460878312
COURSE,中山,芝,1600.0,延長1-199,95,95,95,0.0,0.0027797079442866135,0.05135032352957626,0.0,0.001228243045149899,0.006806903351594993
COURSE,中山,芝,1600.0,延長200-399,659,659,659,0.0,-0.0014270264070046501,-0.03702919887278777,0.0,-0.0012072020567600312,-0.009397525824326241
COURSE,中山,芝,1600.0,延長400m+,336,336,336,0.0,-0.00250891764274086,-0.06306070403934605,0.0,-0.0018486761578090545,-0.0139397345771186
COURSE,中山,芝,1600.0,短縮200-399,706,706,706,0.0,-0.0015641421323795424,-0.0013110750092637652,0.0,-0.0013369059872396574,-0.0003361812190824037
COURSE,中山,芝,1600.0,短縮400m+,233,233,233,0.0,-0.004261054671357067,-0.006295938047112246,0.0,-0.0028125375026237867,-0.001246702746439507
COURSE,中山,芝,1800.0,同距離,927,927,927,0.0400339180218658,-0.26292404344999976,0.018874212496576073,0.014178201339549036,-0.23278948259613158,0.005013293691783959
COURSE,中山,芝,1800.0,延長200-399,538,538,538,0.05050459731269884,-0.25450129096242013,-0.020592348300334455,0.01651761298129603,-0.20808768166836175,-0.005051071452392068
COURSE,中山,芝,1800.0,延長400m+,93,93,93,0.09031752452219638,-0.3192517811641035,-0.0567077898001146,0.01577376484613007,-0.13939162276179168,-0.007427921762550221
COURSE,中山,芝,1800.0,短縮200-399,632,632,632,0.01824729177413595,-0.2976239391733583,-0.010175191460656319,0.006134195958113788,-0.2501307573903756,-0.002565447208697391
